y=470, rel_y=377, left=272, right=750, width=479
y=471, rel_y=378, left=273, right=751, width=479
y=472, rel_y=379, left=273, right=751, width=479
y=473, rel_y=380, left=273, right=751, width=479
y=474, rel_y=381, left=272, right=750, width=479
y=475, rel_y=382, left=272, right=750, width=479
y=476, rel_y=383, left=273, right=751, width=479
y=477, rel_y=384, left=272, right=750, width=479
y=478, rel_y=385, left=272, right=750, width=479
y=479, rel_y=386, left=272, right=750, width=479
y=480, rel_y=387, left=272, right=750, width=479
y=481, rel_y=388, left=272, right=750, width=479
y=482, rel_y=389, left=272, right=751, width=480
y=483, rel_y=390, left=272, right=751, width=480
y=484, rel_y=391, left=271, right=750, width=480
y=485, rel_y=392, left=258, right=750, width=493
y=486, rel_y=393, left=270, right=751, width=482
y=487, rel_y=394, left=271, right=750, width=480
y=488, rel_y=395, left=272, right=750, width=479
y=489, rel_y=396, left=250, right=751, width=502
y=490, rel_y=397, left=250, right=750, width=501
y=491, rel_y=398, left=250, right=750, width=501
y=492, rel_y=399, left=250, right=751, width=502
y=493, rel_y=400, left=250, right=750, width=501
y=494, rel_y=401, left=250, right=750, width=501
y=495, rel_y=402, left=250, right=750, width=501
y=496, rel_y=403, left=250, right=750, width=501
y=497, rel_y=404, left=250, right=750, width=501
y=498, rel_y=405, left=250, right=751, width=502
y=499, rel_y=406, left=250, right=750, width=501
y=500, rel_y=407, left=250, right=751, width=502
y=501, rel_y=408, left=250, right=750, width=501
y=502, rel_y=409, left=250, right=750, width=501
y=503, rel_y=410, left=250, right=751, width=502
y=504, rel_y=411, left=250, right=750, width=501
y=505, rel_y=412, left=250, right=751, width=502
y=506, rel_y=413, left=250, right=751, width=502
y=507, rel_y=414, left=250, right=751, width=502
y=508, rel_y=415, left=250, right=750, width=501
y=509, rel_y=416, left=250, right=751, width=502
y=510, rel_y=417, left=250, right=751, width=502
y=511, rel_y=418, left=250, right=751, width=502
y=512, rel_y=419, left=250, right=751, width=502
y=513, rel_y=420, left=250, right=751, width=502
y=514, rel_y=421, left=247, right=751, width=505
y=515, rel_y=422, left=250, right=751, width=502
y=516, rel_y=423, left=248, right=751, width=504
y=517, rel_y=424, left=247, right=751, width=505
y=518, rel_y=425, left=247, right=750, width=504
y=519, rel_y=426, left=247, right=750, width=504
y=520, rel_y=427, left=242, right=751, width=510
y=521, rel_y=428, left=242, right=750, width=509
y=522, rel_y=429, left=250, right=751, width=502
y=523, rel_y=430, left=227, right=750, width=524
y=524, rel_y=431, left=227, right=750, width=524
y=525, rel_y=432, left=227, right=751, width=525
y=526, rel_y=433, left=227, right=751, width=525
y=527, rel_y=434, left=227, right=751, width=525
y=528, rel_y=435, left=227, right=750, width=524
y=529, rel_y=436, left=227, right=750, width=524
y=530, rel_y=437, left=227, right=751, width=525
y=531, rel_y=438, left=225, right=750, width=526
y=532, rel_y=439, left=225, right=750, width=526
y=533, rel_y=440, left=225, right=750, width=526
y=534, rel_y=441, left=225, right=751, width=527
y=535, rel_y=442, left=225, right=751, width=527
y=536, rel_y=443, left=225, right=751, width=527
y=537, rel_y=444, left=225, right=750, width=526
y=538, rel_y=445, left=225, right=751, width=527
y=539, rel_y=446, left=225, right=751, width=527
y=540, rel_y=447, left=225, right=751, width=527
y=541, rel_y=448, left=225, right=751, width=527
y=542, rel_y=449, left=225, right=751, width=527
y=543, rel_y=450, left=225, right=751, width=527
y=544, rel_y=451, left=225, right=751, width=527
y=545, rel_y=452, left=227, right=751, width=525
y=546, rel_y=453, left=204, right=751, width=548
y=547, rel_y=454, left=204, right=751, width=548
y=548, rel_y=455, left=204, right=751, width=548
y=549, rel_y=456, left=204, right=751, width=548
y=550, rel_y=457, left=204, right=751, width=548
y=551, rel_y=458, left=204, right=751, width=548
y=552, rel_y=459, left=204, right=751, width=548
y=553, rel_y=460, left=204, right=751, width=548
y=554, rel_y=461, left=204, right=750, width=547
y=555, rel_y=462, left=204, right=751, width=548
y=556, rel_y=463, left=204, right=751, width=548
y=557, rel_y=464, left=204, right=773, width=570
y=558, rel_y=465, left=204, right=773, width=570
y=559, rel_y=466, left=204, right=773, width=570
y=560, rel_y=467, left=204, right=773, width=570
y=561, rel_y=468, left=204, right=773, width=570
y=562, rel_y=469, left=204, right=773, width=570
y=563, rel_y=470, left=204, right=773, width=570
y=564, rel_y=471, left=204, right=773, width=570
y=565, rel_y=472, left=204, right=773, width=570
y=566, rel_y=473, left=204, right=773, width=570
y=567, rel_y=474, left=204, right=773, width=570
y=568, rel_y=475, left=204, right=773, width=570
y=569, rel_y=476, left=204, right=773, width=570
y=570, rel_y=477, left=204, right=773, width=570
y=571, rel_y=478, left=204, right=773, width=570
y=572, rel_y=479, left=204, right=773, width=570
y=573, rel_y=480, left=204, right=773, width=570
y=574, rel_y=481, left=204, right=773, width=570
y=575, rel_y=482, left=204, right=773, width=570
y=576, rel_y=483, left=204, right=773, width=570
y=577, rel_y=484, left=204, right=773, width=570
