y=486, rel_y=314, left=264, right=766, width=503
y=487, rel_y=315, left=264, right=766, width=503
y=488, rel_y=316, left=264, right=766, width=503
y=489, rel_y=317, left=264, right=786, width=523
y=490, rel_y=318, left=263, right=766, width=504
y=491, rel_y=319, left=258, right=790, width=533
y=492, rel_y=320, left=257, right=766, width=510
y=493, rel_y=321, left=257, right=766, width=510
y=494, rel_y=322, left=257, right=766, width=510
y=495, rel_y=323, left=257, right=766, width=510
y=496, rel_y=324, left=257, right=790, width=534
y=497, rel_y=325, left=257, right=766, width=510
y=498, rel_y=326, left=257, right=785, width=529
y=499, rel_y=327, left=257, right=766, width=510
y=500, rel_y=328, left=257, right=766, width=510
y=501, rel_y=329, left=257, right=781, width=525
y=502, rel_y=330, left=257, right=766, width=510
y=503, rel_y=331, left=257, right=766, width=510
y=504, rel_y=332, left=257, right=766, width=510
y=505, rel_y=333, left=257, right=766, width=510
y=506, rel_y=334, left=257, right=766, width=510
y=507, rel_y=335, left=257, right=766, width=510
y=508, rel_y=336, left=257, right=766, width=510
y=509, rel_y=337, left=257, right=765, width=509
y=510, rel_y=338, left=257, right=765, width=509
y=511, rel_y=339, left=261, right=681, width=421
y=512, rel_y=340, left=256, right=681, width=426
y=513, rel_y=341, left=257, right=682, width=426
y=514, rel_y=342, left=257, right=785, width=529
y=515, rel_y=343, left=257, right=794, width=538
y=516, rel_y=344, left=257, right=794, width=538
y=517, rel_y=345, left=257, right=794, width=538
y=518, rel_y=346, left=257, right=794, width=538
y=519, rel_y=347, left=262, right=794, width=533
y=520, rel_y=348, left=257, right=794, width=538
y=521, rel_y=349, left=257, right=794, width=538
y=522, rel_y=350, left=257, right=794, width=538
y=523, rel_y=351, left=257, right=794, width=538
y=524, rel_y=352, left=257, right=794, width=538
y=525, rel_y=353, left=257, right=794, width=538
y=526, rel_y=354, left=257, right=785, width=529
y=527, rel_y=355, left=257, right=785, width=529
y=528, rel_y=356, left=257, right=790, width=534
y=529, rel_y=357, left=257, right=768, width=512
y=530, rel_y=358, left=257, right=788, width=532
y=531, rel_y=359, left=257, right=785, width=529
y=532, rel_y=360, left=257, right=788, width=532
y=533, rel_y=361, left=257, right=788, width=532
y=534, rel_y=362, left=257, right=785, width=529
y=535, rel_y=363, left=257, right=785, width=529
y=536, rel_y=364, left=257, right=785, width=529
y=537, rel_y=365, left=257, right=785, width=529
y=538, rel_y=366, left=258, right=785, width=528
y=539, rel_y=367, left=257, right=785, width=529
y=540, rel_y=368, left=257, right=681, width=425
y=541, rel_y=369, left=264, right=787, width=524
y=542, rel_y=370, left=264, right=765, width=502
y=543, rel_y=371, left=264, right=766, width=503
y=544, rel_y=372, left=264, right=766, width=503
y=545, rel_y=373, left=264, right=766, width=503
y=546, rel_y=374, left=264, right=766, width=503
y=547, rel_y=375, left=263, right=766, width=504
